,屋外温度,屋外温度,屋外温度,屋外温度,屋外温度,屋外湿度,屋外湿度,屋外湿度,屋外湿度,屋外湿度,風速,風速,風速,風速,風速,風向,風向,風向,風向,風向,屋外日射,屋外日射,屋外日射,屋外日射,屋外日射,屋外CO2濃度,屋外CO2濃度,屋外CO2濃度,屋外CO2濃度,屋外CO2濃度,絶対湿度,絶対湿度,絶対湿度,絶対湿度,絶対湿度,屋外露点温度,屋外露点温度,屋外露点温度,屋外露点温度,屋外露点温度,屋外飽差,屋外飽差,屋外飽差,屋外飽差,屋外飽差,屋外湿度（高精度）,屋外湿度（高精度）,屋外湿度（高精度）,屋外湿度（高精度）,屋外湿度（高精度）,屋外日射（高精度）,屋外日射（高精度）,屋外日射（高精度）,屋外日射（高精度）,屋外日射（高精度）
DateTime,WAirTemp-0-0-0,WAirTemp-0-0-0,WAirTemp-0-0-0,WAirTemp-0-0-0,WAirTemp-0-0-0,WAirHumid-0-0-0,WAirHumid-0-0-0,WAirHumid-0-0-0,WAirHumid-0-0-0,WAirHumid-0-0-0,WWindSpeed-0-0-0,WWindSpeed-0-0-0,WWindSpeed-0-0-0,WWindSpeed-0-0-0,WWindSpeed-0-0-0,WWindDir16-0-0-0,WWindDir16-0-0-0,WWindDir16-0-0-0,WWindDir16-0-0-0,WWindDir16-0-0-0,WRadiation-0-0-0,WRadiation-0-0-0,WRadiation-0-0-0,WRadiation-0-0-0,WRadiation-0-0-0,WCO2Density-0-0-0,WCO2Density-0-0-0,WCO2Density-0-0-0,WCO2Density-0-0-0,WCO2Density-0-0-0,WAirHumidSH.mWB-0-0-0,WAirHumidSH.mWB-0-0-0,WAirHumidSH.mWB-0-0-0,WAirHumidSH.mWB-0-0-0,WAirHumidSH.mWB-0-0-0,WAirDewTemp.mWB-0-0-0,WAirDewTemp.mWB-0-0-0,WAirDewTemp.mWB-0-0-0,WAirDewTemp.mWB-0-0-0,WAirDewTemp.mWB-0-0-0,WAirSatuDef.mWB-0-0-0,WAirSatuDef.mWB-0-0-0,WAirSatuDef.mWB-0-0-0,WAirSatuDef.mWB-0-0-0,WAirSatuDef.mWB-0-0-0,WAirHumid_dec1-0-0-0,WAirHumid_dec1-0-0-0,WAirHumid_dec1-0-0-0,WAirHumid_dec1-0-0-0,WAirHumid_dec1-0-0-0,WRadiation_dec3-0-0-0,WRadiation_dec3-0-0-0,WRadiation_dec3-0-0-0,WRadiation_dec3-0-0-0,WRadiation_dec3-0-0-0
日時,瞬時,最大,最小,平均,較差,瞬時,最大,最小,平均,較差,瞬時,最大,最小,平均,較差,瞬時,最大,最小,平均,較差,瞬時,最大,最小,平均,較差,瞬時,最大,最小,平均,較差,瞬時,最大,最小,平均,較差,瞬時,最大,最小,平均,較差,瞬時,最大,最小,平均,較差,瞬時,最大,最小,平均,較差,瞬時,最大,最小,平均,較差
2020/7/1 0:00,25,25,24.9,24.93,0.1,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1279,1293,1278,1285.074,15,20.1,20.1,19.9,19.959,0.2,25,25,24.9,24.927,0.1,0,0,0,0,0,102.9,103.5,102.9,103.123,0.6,0.383,0.389,0.383,0.384,0.006
2020/7/1 0:05,25.1,25.2,25,25.1,0.2,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1278,1284,1278,1278.926,6,20.2,20.3,20.1,20.196,0.2,25.1,25.2,25,25.096,0.2,0,0,0,0,0,102,103,101.9,102.326,1.1,0.383,0.388,0.383,0.384,0.005
2020/7/1 0:10,25.2,25.2,25.1,25.13,0.1,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1268,1284,1268,1272.444,16,20.3,20.3,20.2,20.233,0.1,25.2,25.2,25.1,25.133,0.1,0,0,0,0,0,101.5,102.5,101.5,102.17,1,0.383,0.388,0.383,0.384,0.005
2020/7/1 0:15,25.3,25.3,25.2,25.215,0.1,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1258,1270,1258,1264.889,12,20.4,20.4,20.3,20.319,0.1,25.2,25.3,25.2,25.219,0.1,0,0,0,0,0,101.4,102,101.4,101.463,0.6,0.383,0.389,0.383,0.384,0.006
2020/7/1 0:20,25.3,25.4,25.2,25.281,0.2,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1258,1269,1258,1261.852,11,20.4,20.6,20.3,20.385,0.3,25.3,25.4,25.2,25.285,0.2,0,0,0,0,0,101,101.4,100.4,100.889,1,0.383,0.388,0.383,0.384,0.005
2020/7/1 0:25,25.3,25.3,25.1,25.226,0.2,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1258,1260,1258,1258.259,2,20.4,20.4,20.2,20.33,0.2,25.3,25.3,25.1,25.23,0.2,0,0,0,0,0,100.9,102,100.9,101.385,1.1,0.383,0.389,0.383,0.384,0.006
2020/7/1 0:30,25.2,25.3,25.2,25.252,0.1,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1258,1259,1258,1258.296,1,20.3,20.4,20.3,20.348,0.1,25.2,25.3,25.2,25.248,0.1,0,0,0,0,0,101.1,101.1,100.9,100.967,0.2,0.383,0.389,0.383,0.384,0.006
2020/7/1 0:35,25.3,25.4,25.2,25.293,0.2,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.38,0.38,0,1258,1259,1258,1258.185,1,20.4,20.6,20.3,20.419,0.3,25.3,25.4,25.2,25.304,0.2,0,0,0,0,0,100.5,101.5,100.4,100.844,1.1,0.383,0.388,0.383,0.384,0.005
