,屋内気温,屋内気温,屋内気温,屋内気温,屋内気温,屋内湿度,屋内湿度,屋内湿度,屋内湿度,屋内湿度,屋内CO2濃度,屋内CO2濃度,屋内CO2濃度,屋内CO2濃度,屋内CO2濃度,屋内絶対湿度,屋内絶対湿度,屋内絶対湿度,屋内絶対湿度,屋内絶対湿度,カーテン２,カーテン２,カーテン２,カーテン２,カーテン２,屋内飽差,屋内飽差,屋内飽差,屋内飽差,屋内飽差
DateTime,InAirTemp-2-0-0,InAirTemp-2-0-0,InAirTemp-2-0-0,InAirTemp-2-0-0,InAirTemp-2-0-0,InAirHumid-2-0-0,InAirHumid-2-0-0,InAirHumid-2-0-0,InAirHumid-2-0-0,InAirHumid-2-0-0,InCO2Dens-2-0-0,InCO2Dens-2-0-0,InCO2Dens-2-0-0,InCO2Dens-2-0-0,InCO2Dens-2-0-0,InAirHumidSH.mIA-2-0-0,InAirHumidSH.mIA-2-0-0,InAirHumidSH.mIA-2-0-0,InAirHumidSH.mIA-2-0-0,InAirHumidSH.mIA-2-0-0,opr_Ctn.aMC-2-1-2,opr_Ctn.aMC-2-1-2,opr_Ctn.aMC-2-1-2,opr_Ctn.aMC-2-1-2,opr_Ctn.aMC-2-1-2,InAirSatuDef.mIA-2-0-0,InAirSatuDef.mIA-2-0-0,InAirSatuDef.mIA-2-0-0,InAirSatuDef.mIA-2-0-0,InAirSatuDef.mIA-2-0-0
日時,瞬時,最大,最小,平均,較差,瞬時,最大,最小,平均,較差,瞬時,最大,最小,平均,較差,瞬時,最大,最小,平均,較差,瞬時,最大,最小,平均,較差,瞬時,最大,最小,平均,較差
2020/7/1 0:00,24.9,24.9,0,24.808,24.9,98,98,98,98,0,560,566,559,560.407,7,19.5,19.5,19.4,19.407,0.1,10,10,10,10,0,0.3,0.3,0.3,0.3,0
2020/7/1 0:05,25,25,0,24.9,25,97,98,97,97.852,1,560,565,560,560.778,5,19.5,19.7,19.3,19.5,0.4,10,10,10,10,0,0.6,0.6,0.3,0.344,0.3
2020/7/1 0:10,25.1,25.1,0,25.019,25.1,96,97,96,96.444,1,560,561,556,558,5,19.4,19.5,19.3,19.396,0.2,10,10,10,10,0,0.8,0.8,0.5,0.707,0.3
2020/7/1 0:15,25.1,25.2,0,24.174,25.2,96,96,95,95.481,1,556,561,556,557.852,5,19.4,19.4,19.2,19.3,0.2,10,10,10,10,0,0.8,1,0.8,0.904,0.2
2020/7/1 0:20,25.2,25.2,0,24.2,25.2,95,96,95,95.407,1,561,561,556,559.111,5,19.3,19.4,19.2,19.322,0.2,10,10,10,10,0,1,1,0.8,0.919,0.2
2020/7/1 0:25,25.1,25.2,0,25.159,25.2,96,96,95,95.333,1,560,561,556,558.185,5,19.4,19.5,19.2,19.33,0.3,10,10,10,10,0,0.8,1,0.8,0.933,0.2
2020/7/1 0:30,25.1,25.1,0,24.163,25.1,96,96,96,96,0,561,561,560,560.111,1,19.4,19.4,19.3,19.4,0.1,10,10,10,10,0,0.8,0.8,0.8,0.8,0
2020/7/1 0:35,25,25.1,0,25.074,25.1,96,97,96,96.333,1,560,561,557,560.037,4,19.3,19.6,19.3,19.452,0.3,10,10,10,10,0,0.8,0.8,0.6,0.733,0.2
2020/7/1 0:40,25.2,25.2,0,25.1,25.2,95,96,95,95.852,1,560,561,560,560.148,1,19.3,19.4,19.2,19.367,0.2,10,10,10,10,0,1,1,0.8,0.837,0.2
2020/7/1 0:45,25.2,25.2,0,25.189,25.2,95,95,95,95,0,560,561,555,558.481,6,19.3,19.3,19.2,19.293,0.1,10,10,10,10,0,1,1,1,1,0
2020/7/1 0:50,25.1,25.2,0,25.13,25.2,96,96,95,95.593,1,560,561,557,559.852,4,19.4,19.5,19.2,19.374,0.3,10,10,10,10,0,0.8,1,0.8,0.874,0.2
2020/7/1 0:55,25.1,25.2,0,24.17,25.2,97,97,96,96.037,1,561,561,559,559.926,2,19.6,19.6,19.4,19.407,0.2,10,10,10,10,0,0.6,0.8,0.6,0.793,0.2
2020/7/1 1:00,25.1,25.1,0,24.163,25.1,97,97,97,97,0,560,565,560,560.704,5,19.6,19.6,19.5,19.596,0.1,10,10,10,10,0,0.6,0.6,0.6,0.6,0
2020/7/1 1:05,25,25.1,0,25.07,25.1,97,97,97,97,0,560,561,560,560.296,1,19.5,19.6,19.5,19.559,0.1,10,10,10,10,0,0.6,0.6,0.6,0.6,0
2020/7/1 1:10,25.1,25.1,0,25.019,25.1,97,97,97,97,0,560,561,555,559,6,19.6,19.6,19.5,19.533,0.1,10,10,10,10,0,0.6,0.6,0.6,0.6,0
2020/7/1 1:15,25.1,25.1,0,25.052,25.1,95,97,95,96.333,2,559,561,559,560.037,2,19.2,19.6,19.2,19.404,0.4,10,10,10,10,0,1,1,0.6,0.741,0.4
2020/7/1 1:20,25.1,25.1,0,25.1,25.1,96,96,95,95.444,1,560,561,559,559.889,2,19.4,19.4,19.2,19.289,0.2,10,10,10,10,0,0.8,1,0.8,0.911,0.2
2020/7/1 1:25,25.2,25.2,0,25.111,25.2,94,96,94,95.667,2,556,562,556,559.407,6,19.1,19.4,19.1,19.333,0.3,10,10,10,10,0,1.2,1.2,0.8,0.874,0.4
2020/7/1 1:30,25.2,25.2,0,25.185,25.2,96,96,94,94.852,2,561,561,556,559.037,5,19.5,19.5,19.1,19.248,0.4,10,10,10,10,0,0.8,1.2,0.8,1.03,0.4
